hgnc_symbol	hgnc_id
MT-TF	HGNC:7481
MT-RNR1	HGNC:7470
MT-TV	HGNC:7500
MT-RNR2	HGNC:7471
MT-TL1	HGNC:7490
MT-ND1	HGNC:7455
MT-TI	HGNC:7488
MT-TQ	HGNC:7495
MT-TM	HGNC:7492
MT-ND2	HGNC:7456
MT-TW	HGNC:7501
MT-TA	HGNC:7475
MT-TN	HGNC:7493
MT-TC	HGNC:7477
MT-TY	HGNC:7502
MT-CO1	HGNC:7419
MT-TS1	HGNC:7497
MT-TD	HGNC:7478
MT-CO2	HGNC:7421
MT-TK	HGNC:7489
MT-ATP8	HGNC:7415
MT-ATP6	HGNC:7414
MT-CO3	HGNC:7422
MT-TG	HGNC:7486
MT-ND3	HGNC:7458
MT-TR	HGNC:7496
MT-ND4L	HGNC:7460
MT-ND4	HGNC:7459
MT-TH	HGNC:7487
MT-TS2	HGNC:7498
MT-TL2	HGNC:7491
MT-ND5	HGNC:7461
MT-ND6	HGNC:7462
MT-TE	HGNC:7479
MT-CYB	HGNC:7427
MT-TT	HGNC:7499
MT-TP	HGNC:7494
	
KIR2DL3	HGNC:6331
KIR2DL1	HGNC:6329
KIR3DP1	HGNC:16343
LILRP1	HGNC:15496
KIR3DL2	HGNC:6339
LILRP2	HGNC:15497
KIR2DS4	HGNC:6336
INTS3	HGNC:26153
PCMTD2	HGNC:15882
KIR2DS5	HGNC:6337
LINC02109	HGNC:52964
KIR2DS3	HGNC:6335
KIR2DL4	HGNC:6332
KIR2DP1	HGNC:16344
NCR1	HGNC:6731
KIR2DL2	HGNC:6330
KIR3DL3	HGNC:16312
KIR3DL1	HGNC:6338
FCAR	HGNC:3608
OPRL1	HGNC:8155
NPBWR2	HGNC:4530
KIR2DS2	HGNC:6334
MYT1	HGNC:7622
KIR2DL5B	HGNC:16346
KIR3DS1	HGNC:6340
KIR2DL5A	HGNC:16345
KIR2DS1	HGNC:6333
SBNO2	HGNC:29158
PTCHD3	HGNC:24776
DNAH10	HGNC:2941
ODAD2P1	HGNC:44937
FAM210CP	HGNC:44938
TRIAP1P1	HGNC:31659
SNTG2	HGNC:13741
OR9G4	HGNC:15322
OR5G3	HGNC:15287
OR9G3P	HGNC:15321
OR5G1P	HGNC:8344
OR5G4P	HGNC:15288
OR5G5P	HGNC:15289
OR9G2P	HGNC:15320
OR9G1	HGNC:15319
GEMIN2P1	HGNC:49561
OR9G9	HGNC:31940
GATAD2B	HGNC:30778
LINC02735	HGNC:54252
CCDC92	HGNC:29563
KRT18P40	HGNC:33409
ZNF430	HGNC:20808
RNA5-8SN5	HGNC:53533
ZNF85	HGNC:13160
SLC27A3	HGNC:10997
BNIP3P24	HGNC:49704
ZNF66	HGNC:13135
PIWIL1	HGNC:9007
KRTAP9-2	HGNC:16926
KRTAP9-10P	HGNC:34210
KRTAP9-4	HGNC:18902
KRTAP9-6	HGNC:18914
KRTAP9-7	HGNC:18915
KRTAP29-1	HGNC:34211
KRTAP9-12P	HGNC:48873
KRTAP9-11P	HGNC:18918
KRTAP9-9	HGNC:16773
PPIAL4F	HGNC:33999
DHX36	HGNC:14410
