GeneSymbol	region	AF_NAHR	all_carrier_allele_burden	dz_burden	dz_NAHR_contribution_perc	allele_NAHR_contribution_perc	NAHR_allele_contribution_rank	dz_contribution_by_allele_top3	NIRD
ADRA2B	2q11.2	7.309999999999999e-5	8.122222222222221e-5	1.2534393827160487e-9	95	90	1	95, 10, 10	4.1
ALDOA	16p11.2prox	2.596e-4	2.8844444444444447e-4	1.5808037530864195e-8	95	90	1	95, 10, 10	4.1
CEP19	3q29	2.269e-5	2.5211111111111112e-5	1.2076402345679018e-10	95	90	1	95, 10, 10	4.1
CORO1A	16p11.2prox	2.596e-4	2.8844444444444447e-4	1.5808037530864195e-8	95	90	1	95, 10, 10	4.1
COX5A	15q24_BPA-BPC	2.521e-6	2.801111111111111e-6	1.4907824567901233e-12	95	90	1	95, 10, 10	4.1
EDC3	15q24_BPA-BPC	2.521e-6	2.801111111111111e-6	1.4907824567901233e-12	95	90	1	95, 10, 10	4.1
GP1BB	22q11.2_LCRA-D	1.771e-4	1.967777777777778e-4	7.35708382716049e-9	95	90	1	95, 10, 10	4.1
GRAP	SMS	5.0410000000000005e-6	5.601111111111112e-6	5.96076467901235e-12	95	90	1	95, 10, 10	4.1
HJV	1q21_TAR	1.739e-4	1.932222222222222e-4	7.093617160493828e-9	95	90	1	95, 10, 10	4.1
IGLL1	22q11.2_LCRD-H	1.26e-5	1.4e-5	3.723999999999999e-11	95	90	1	95, 10, 10	4.1
LAT	16p11.2dist	1.361e-4	1.5122222222222221e-4	4.344950493827161e-9	95	90	1	95, 10, 10	4.1
MIEF2	SMS	5.0410000000000005e-6	5.601111111111112e-6	5.96076467901235e-12	95	90	1	95, 10, 10	4.1
NRROS	3q29	2.269e-5	2.5211111111111112e-5	1.2076402345679018e-10	95	90	1	95, 10, 10	4.1
PIGW	17q12	6.886e-5	7.651111111111112e-5	1.1122505234567898e-9	95	90	1	95, 10, 10	4.1
PMP22	HNPP	3.148e-4	3.497777777777778e-4	2.3245453827160505e-8	95	90	1	95, 10, 10	4.1
PRODH	22q11.2_LCRA-D	1.771e-4	1.967777777777778e-4	7.35708382716049e-9	95	90	1	95, 10, 10	4.1
SLC18A3	10q11.21q11.23	1.412e-4	1.568888888888889e-4	4.6766834567901225e-9	95	90	1	95, 10, 10	4.1
NPHP1	2q13_NPHP1	0.005873	0.007754308108525506	6.01292942419444e-5	94	76	1	94, 18, 6	7.1
NSMCE3	15q11q13_BP3-BP4	3.5289999999999996e-5	4.2012222222222215e-5	5.132872750493826e-10	92	84	1	92, 39, 7	4.6
RBM8A	1q21_TAR	1.739e-4	1.932222222222222e-4	5.972087561715786e-5	90	90	1	90, 1, 1	9.8
UQCRC2	16p12.1	5.922999999999999e-4	7.264666666666666e-4	1.7693452777777773e-7	90	82	1	90, 48, 6	4.8
PEX11B	1q21_TAR	1.739e-4	2.2002955632488655e-4	1.8171795656526433e-8	88	79	1	88, 55, 5	4.9
SCARF2	22q11.2_LCRA-D	1.771e-4	2.2358122126421787e-4	1.862415250199915e-8	88	79	1	88, 55, 5	4.9
MYH11	16p13.11	3.126e-4	4.051932216627368e-4	6.646278688142777e-8	87	77	1	87, 33, 29	4.9
NDE1	16p13.11	3.126e-4	4.158444444444444e-4	7.520784197530865e-8	86	75	1	86, 63, 5	5
COX10	HNPP	3.148e-4	4.4523266566871253e-4	9.913308657846755e-8	83	71	1	83, 52, 21	5.1
OTUD7A	15q13.3_BP4-BP5	9.326000000000001e-5	1.600548898447243e-4	2.561121232220683e-8	83	58	1	83, 28, 28	3.2
