GeneSymbol	region	AF_NAHR	all_carrier_allele_burden	dz_burden	dz_NAHR_contribution_perc	allele_NAHR_contribution_perc	NAHR_allele_contribution_rank	dz_contribution_by_allele_top3	NIRD
NPHP1	2q13_NPHP1	0.005811	0.006819107356036491	4.650022513315098e-5	98	85	1	98, 3, 2	7.7
ADRA2B	2q11.2	7.36e-5	8.177777777777777e-5	1.270644938271605e-9	95	90	1	95, 10, 10	4.1
ALDOA	16p11.2prox	5.076e-4	5.639999999999999e-4	6.043824e-8	95	90	1	95, 10, 10	4.1
CEP19	3q29	2.136e-5	2.3733333333333332e-5	1.070215111111111e-10	95	90	1	95, 10, 10	4.1
CORO1A	16p11.2prox	5.076e-4	5.639999999999999e-4	6.043824e-8	95	90	1	95, 10, 10	4.1
COX5A	15q24_BPA-BPC	2.374e-6	2.6377777777777776e-6	1.3219956049382716e-12	95	90	1	95, 10, 10	4.1
EDC3	15q24_BPA-BPC	2.374e-6	2.6377777777777776e-6	1.3219956049382716e-12	95	90	1	95, 10, 10	4.1
LAT	16p11.2dist	1.3769999999999999e-4	1.5299999999999998e-4	4.447709999999998e-9	95	90	1	95, 10, 10	4.1
MIEF2	SMS	5.333e-5	5.925555555555555e-5	6.671319641975309e-10	95	90	1	95, 10, 10	4.1
SLC18A3	10q11.21q11.23	1.353e-4	1.5033333333333335e-4	4.2940211111111106e-9	95	90	1	95, 10, 10	4.1
PMP22	HNPP	3.148e-4	3.541988888888889e-4	2.6357812890123442e-8	94	89	1	94, 11, 9	4.2
OTUD7A	15q13.3_BP4-BP5	9.97e-5	1.3535463282056642e-4	1.831524074999036e-8	93	74	1	93, 10, 9	5.4
GRAP	SMS	5.333e-5	6.375444444444445e-5	1.2205402864197529e-9	91	84	1	91, 41, 7	4.6
RBM8A	1q21_TAR	1.78e-4	1.9777777777777778e-4	1.6161676484938376e-5	90	90	1	90, 1, 1	9.8
PRODH	22q11.2_LCRA-D	1.417e-4	1.8976666666666668e-4	1.5932497777777776e-8	85	75	1	85, 39, 28	5
UQCRC2	16p12.1	5.84e-4	7.828482331143982e-4	2.7179535609033514e-7	85	75	1	85, 50, 7	5
NDE1	16p13.11	3.11e-4	4.2960000000000003e-4	8.783515999999999e-8	84	72	1	84, 54, 15	5.1
PEX11B	1q21_TAR	1.78e-4	2.4831970021099443e-4	2.997867351287817e-8	84	72	1	84, 21, 18	4.7
PRRT2	16p11.2prox	5.076e-4	7.771133333333333e-4	3.462473728444445e-7	79	65	1	79, 60, 8	5.2
TUFM	16p11.2dist	1.3769999999999999e-4	2.1295778898216706e-4	2.638972988817319e-8	79	65	1	79, 10, 10	3.9
COX10	HNPP	3.148e-4	5.052976663379102e-4	1.5622669160653804e-7	77	62	1	77, 48, 25	5.1
POLR3GL	1q21_TAR	1.78e-4	3.0001409893089053e-4	5.832445955731415e-8	74	59	1	74, 20, 13	4.1
SCARF2	22q11.2_LCRA-D	1.417e-4	2.451379781590723e-4	4.00137383359178e-8	73	58	1	73, 38, 8	3.8
B9D1	SMS	5.333e-5	9.46888888888889e-5	6.121896779012346e-9	72	56	1	72, 74, 12	5.3
MYH11	16p13.11	3.11e-4	5.483145126214143e-4	2.0392780475125907e-7	72	57	1	72, 24, 7	5
NCAPH	2q11.2	7.36e-5	1.3290761096091915e-4	1.2247473051339038e-8	71	55	1	71, 27, 27	2.9
ANAPC1	2q13	1.258e-4	2.5404165653952965e-4	4.871152325734835e-8	66	50	1	66, 13, 11	3.8
CD19	16p11.2dist	1.3769999999999999e-4	2.860528014347301e-4	6.286491520865714e-8	65	48	1	65, 38, 28	4
HJV	1q21_TAR	1.78e-4	3.967e-4	1.2568689e-7	62	45	1	62, 83, 5	5.2
PIGW	17q12	6.886e-5	1.5611111111111113e-4	1.9628979412345677e-8	61	44	1	61, 64, 35	5.2
IGLL1	22q11.2_LCRD-H	1.187e-5	2.7862067045843126e-5	6.353978800670574e-10	60	43	1	60, 51, 51	5.2
ATPAF2	SMS	5.333e-5	1.2937115458432302e-4	1.38928067384808e-8	58	41	1	58, 78, 12	4.1
CNNM4	2q11.2	7.36e-5	1.8435063218153987e-4	2.8568195585733402e-8	57	40	1	57, 16, 9	3.2
RBP3	10q11.21q11.23	1.353e-4	3.417412748419043e-4	9.848100893056999e-8	57	40	1	57, 30, 9	4.1
SLC25A1	22q11.2_LCRA-D	1.417e-4	3.6862221124673965e-4	1.1580344462443594e-7	56	38	1	56, 40, 16	4.2
FDFT1	8p23.1	9.495e-6	2.5155088836106005e-5	5.42623469352385e-10	55	38	1	55, 53, 53	5.1
GP1BB	22q11.2_LCRA-D	1.417e-4	3.750171887221954e-4	1.2055900183709867e-7	55	38	2	86, 55, 5	4.6
SGCG	13q12.12	2.018e-4	5.615863616261103e-4	2.746560015644524e-7	53	36	1	53, 25, 16	4.7
CHAT	10q11.21q11.23	1.353e-4	3.9171739935215126e-4	1.351364309552127e-7	51	35	1	51, 25, 7	4.1
SNAP29	22q11.2_LCRA-D	1.417e-4	4.23006043282634e-4	1.5885522265362958e-7	50	33	1	50, 46, 29	4.3
CDC45	22q11.2_LCRA-D	1.417e-4	4.340172331398081e-4	1.6829206866233457e-7	49	33	1	49, 31, 20	4.2
TBX6	16p11.2prox	5.076e-4	0.0010778771991471247	5.982637052637796e-4	47	47	1	47, 20, 5	5.6
NSMCE3	15q11q13_BP3-BP4	3.798e-5	1.287822222222222e-4	1.5136744484493826e-8	46	29	2	91, 46, 4	4.8
NRROS	3q29	2.136e-5	7.484444557858838e-5	5.145441433966277e-9	44	29	2	93, 44, 2	4.8
TFRC	3q29	2.136e-5	8.943270977326126e-5	7.541959977388379e-9	39	24	1	39, 42, 29	1.6
PCYT1A	3q29	2.136e-5	9.494531094900256e-5	8.558362471202783e-9	37	22	1	37, 39, 17	1.8
