GeneSymbol	fracNAHR	AFnahr	region	AFsum
NPHP1	0.9853257370998109	0.005873	2q13_NPHP1	0.0062344309
IGLL1	0.9424083769633511	1.26e-5	22q11.2_LCRD-H	1.26e-5
CORO1A	0.9424083769633509	2.596e-4	16p11.2prox	2.596e-4
ALDOA	0.9424083769633509	2.596e-4	16p11.2prox	2.596e-4
MIEF2	0.9424083769633509	5.0410000000000005e-6	SMS	5.0410000000000005e-6
ADRA2B	0.9424083769633508	7.309999999999999e-5	2q11.2	7.309999999999999e-5
NRROS	0.9424083769633508	2.269e-5	3q29	2.269e-5
CEP19	0.9424083769633508	2.269e-5	3q29	2.269e-5
SNAP29	0.9424083769633502	1.771e-4	22q11.2_LCRA-D	1.771e-4
RBM8A	0.9424083769633502	1.739e-4	1q21_TAR	1.739e-4
COX5A	0.9424083769633502	2.521e-6	15q24_BPA-BPC	2.521e-6
EDC3	0.9424083769633502	2.521e-6	15q24_BPA-BPC	2.521e-6
SLC18A3	0.9424083769633501	1.412e-4	10q11.21q11.23	1.412e-4
LAT	0.94240837696335	1.361e-4	16p11.2dist	1.361e-4
UQCRC2	0.8954674068780234	5.922999999999999e-4	16p12.1	6.481058999999999e-4
MYH11	0.8498817161044891	3.126e-4	16p13.11	3.714196e-4
PRODH	0.8400645556181804	1.771e-4	22q11.2_LCRA-D	2.052e-4
TUFM	0.7634769111038375	1.361e-4	16p11.2dist	1.89008e-4
SCARF2	0.7585213427933556	1.771e-4	22q11.2_LCRA-D	2.505926e-4
PEX11B	0.7423912352401308	1.739e-4	1q21_TAR	2.498073e-4
POLR3GL	0.6956806071891956	1.739e-4	1q21_TAR	2.767952e-4
NDE1	0.69362920043919285	3.126e-4	16p13.11	4.918424e-4
RBP3	0.6401829718450067	1.412e-4	10q11.21q11.23	2.587931e-4
NCAPH	0.6153181467814214	7.309999999999999e-5	2q11.2	1.318998e-4
OTOA	0.6052220774341109	5.922999999999999e-4	16p12.1	0.0011765461
COX10	0.5931615055721661	3.148e-4	HNPP	5.699907000000001e-4
CD19	0.5877959961427097	1.361e-4	16p11.2dist	2.567106e-4
PRRT2	0.5864780323866757	2.596e-4	16p11.2prox	4.67162e-4
ANAPC1	0.5564202582550681	1.2859999999999998e-4	2q13	2.757178e-4
SLC25A1	0.5557805486920768	1.771e-4	22q11.2_LCRA-D	3.826881e-4
ZNHIT3	0.5519177440478035	6.886e-5	17q12	1.2325e-4
CHAT	0.5395308967702295	1.412e-4	10q11.21q11.23	3.297967e-4
CDC45	0.5323754872820297	1.771e-4	22q11.2_LCRA-D	4.077928e-4
SGCG	0.43411707345168066	2.117e-4	13q12.12	6.24221e-4
PI4KA	0.4253885012122732	1.771e-4	22q11.2_LCRA-D	5.760542e-4
CNNM4	0.4205288637460723	7.309999999999999e-5	2q11.2	2.353426e-4
FDFT1	0.40291170725727765	1.008e-5	8p23.1	2.4779e-5
PCYT1A	0.39408879147576775	2.269e-5	3q29	7.255340000000001e-5
PIGW	0.37600648186788815	6.886e-5	17q12	2.0962e-4
GRAP	0.3566422831983339	5.0410000000000005e-6	SMS	1.4008000000000002e-5
TFRC	0.34260470087560296	2.269e-5	3q29	8.1485e-5
HJV	0.32175197550151063	1.739e-4	1q21_TAR	5.43194e-4
TXNRD2	0.3151303437709152	1.771e-4	22q11.2_LCRA-D	6.478083e-4
GP1BB	0.31314686514868906	1.771e-4	22q11.2_LCRA-D	5.7723e-4
SACS	0.3102516979126151	2.117e-4	13q12.12	0.001004097
MERTK	0.3097380355596622	1.2859999999999998e-4	2q13	5.64501e-4
MIPEP	0.3027964475517988	2.117e-4	13q12.12	9.99721e-4
TCTEX1D2	0.287260838427902	2.269e-5	3q29	9.62094e-5
LMAN2L	0.2561692339190298	7.309999999999999e-5	2q11.2	3.965518e-4
ATPAF2	0.25335945463886583	5.0410000000000005e-6	SMS	1.974e-5
LZTR1	0.24914906699759898	1.771e-4	22q11.2_LCRA-D	0.0010749719
ERCC6	0.2020540961916025	1.412e-4	10q11.21q11.23	0.0010954647
ATP2A1	0.16422106890085594	1.361e-4	16p11.2dist	0.0010414822
BBS4	0.12177428626873507	2.521e-6	15q24_BPA-BPC	2.0561000000000002e-5
TANGO2	0.11167320387319737	1.771e-4	22q11.2_LCRA-D	0.0016435100000000002
