GeneSymbol	region	AF_NAHR	all_carrier_allele_burden	dz_burden	dz_NAHR_contribution_perc	allele_NAHR_contribution_perc	NAHR_allele_contribution_rank	dz_contribution_by_allele_top3	NIRD
OTUD7A	15q13.3_BP4-BP5	9.97e-5	1.1341555555555556e-4	1.2857452365975308e-8	99	88	1	99, 4, 2	8
NPHP1	2q13_NPHP1	0.005811	0.006731661112006215	4.531526132689676e-5	98	86	1	98, 6, 2	7.8
ADRA2B	2q11.2	7.36e-5	8.177777777777777e-5	1.270644938271605e-9	95	90	1	95, 10, 10	4.1
ALDOA	16p11.2prox	5.076e-4	5.639999999999999e-4	6.043824e-8	95	90	1	95, 10, 10	4.1
ANAPC1	2q13	1.258e-4	1.3977777777777778e-4	3.712187160493828e-9	95	90	1	95, 10, 10	4.1
ATPAF2	SMS	5.333e-5	5.925555555555555e-5	6.671319641975309e-10	95	90	1	95, 10, 10	4.1
B9D1	SMS	5.333e-5	5.925555555555555e-5	6.671319641975309e-10	95	90	1	95, 10, 10	4.1
CD19	16p11.2dist	1.3769999999999999e-4	1.5299999999999998e-4	4.447709999999998e-9	95	90	1	95, 10, 10	4.1
CDHR1	10q23	7.121e-6	7.912222222222223e-6	1.1894619493827163e-11	95	90	1	95, 10, 10	4.1
CEP19	3q29	2.136e-5	2.3733333333333332e-5	1.070215111111111e-10	95	90	1	95, 10, 10	4.1
CNNM4	2q11.2	7.36e-5	8.177777777777777e-5	1.270644938271605e-9	95	90	1	95, 10, 10	4.1
CORO1A	16p11.2prox	5.076e-4	5.639999999999999e-4	6.043824e-8	95	90	1	95, 10, 10	4.1
COX5A	15q24_BPA-BPC	2.374e-6	2.6377777777777776e-6	1.3219956049382716e-12	95	90	1	95, 10, 10	4.1
EDC3	15q24_BPA-BPC	2.374e-6	2.6377777777777776e-6	1.3219956049382716e-12	95	90	1	95, 10, 10	4.1
FDFT1	8p23.1	9.495e-6	1.055e-5	2.1147474999999996e-11	95	90	1	95, 10, 10	4.1
GP1BB	22q11.2_LCRA-D	1.417e-4	1.5744444444444443e-4	4.709863086419754e-9	95	90	1	95, 10, 10	4.1
GRAP	SMS	5.333e-5	5.925555555555555e-5	6.671319641975309e-10	95	90	1	95, 10, 10	4.1
LAT	16p11.2dist	1.3769999999999999e-4	1.5299999999999998e-4	4.447709999999998e-9	95	90	1	95, 10, 10	4.1
MDH2	7q11.23_dist	2.374e-6	2.6377777777777776e-6	1.3219956049382716e-12	95	90	1	95, 10, 10	4.1
MIEF2	SMS	5.333e-5	5.925555555555555e-5	6.671319641975309e-10	95	90	1	95, 10, 10	4.1
MYH11	16p13.11	3.11e-4	3.4555555555555555e-4	2.268764197530864e-8	95	90	1	95, 10, 10	4.1
NDE1	16p13.11	3.11e-4	3.4555555555555555e-4	2.268764197530864e-8	95	90	1	95, 10, 10	4.1
NRROS	3q29	2.136e-5	2.3733333333333332e-5	1.070215111111111e-10	95	90	1	95, 10, 10	4.1
PCYT1A	3q29	2.136e-5	2.3733333333333332e-5	1.070215111111111e-10	95	90	1	95, 10, 10	4.1
PIGW	17q12	6.886e-5	7.651111111111112e-5	1.1122505234567898e-9	95	90	1	95, 10, 10	4.1
PMP22	HNPP	3.148e-4	3.497777777777778e-4	2.3245453827160505e-8	95	90	1	95, 10, 10	4.1
POLR3GL	1q21_TAR	1.78e-4	1.9777777777777778e-4	7.43204938271605e-9	95	90	1	95, 10, 10	4.1
PRODH	22q11.2_LCRA-D	1.417e-4	1.5744444444444443e-4	4.709863086419754e-9	95	90	1	95, 10, 10	4.1
RNF168	3q29	2.136e-5	2.3733333333333332e-5	1.070215111111111e-10	95	90	1	95, 10, 10	4.1
SCARF2	22q11.2_LCRA-D	1.417e-4	1.5744444444444443e-4	4.709863086419754e-9	95	90	1	95, 10, 10	4.1
SLC18A3	10q11.21q11.23	1.353e-4	1.5033333333333335e-4	4.2940211111111106e-9	95	90	1	95, 10, 10	4.1
SLC25A1	22q11.2_LCRA-D	1.417e-4	1.5744444444444443e-4	4.709863086419754e-9	95	90	1	95, 10, 10	4.1
TFRC	3q29	2.136e-5	2.3733333333333332e-5	1.070215111111111e-10	95	90	1	95, 10, 10	4.1
TOP3A	SMS	5.333e-5	5.925555555555555e-5	6.671319641975309e-10	95	90	1	95, 10, 10	4.1
TUFM	16p11.2dist	1.3769999999999999e-4	1.5299999999999998e-4	4.447709999999998e-9	95	90	1	95, 10, 10	4.1
TXNRD2	22q11.2_LCRA-D	1.417e-4	1.5744444444444443e-4	4.709863086419754e-9	95	90	1	95, 10, 10	4.1
UQCRC2	16p12.1	5.84e-4	6.48888888888889e-4	8.000079012345678e-8	95	90	1	95, 10, 10	4.1
ZNHIT3	17q12	6.886e-5	7.651111111111112e-5	1.1122505234567898e-9	95	90	1	95, 10, 10	4.1
NSMCE3	15q11q13_BP3-BP4	3.798e-5	4.483777777777778e-5	5.623100400493828e-10	93	85	1	93, 36, 7	4.6
RBM8A	1q21_TAR	1.78e-4	1.9777777777777778e-4	2.6877164938271625e-6	90	90	1	90, 1, 1	9.8
SGCG	13q12.12	2.018e-4	2.8463333333333333e-4	4.029289444444445e-8	83	71	1	83, 69, 4	5.2
HJV	1q21_TAR	1.78e-4	2.581888888888889e-4	3.497750234567901e-8	82	69	1	82, 72, 4	5.2
PEX11B	1q21_TAR	1.78e-4	2.5825555555555554e-4	3.501193197530863e-8	82	69	1	82, 72, 4	5.2
TANGO2	22q11.2_LCRA-D	1.417e-4	2.179111111111111e-4	2.7406362345679013e-8	79	65	1	79, 76, 3	5.3
ATP2A1	16p11.2dist	1.3769999999999999e-4	2.1355555555555554e-4	2.6644685308641975e-8	78	64	1	78, 76, 3	5.3
NCF1	7q11.23	1.2e-4	1.9395555555555555e-4	2.3218757530864195e-8	76	62	1	76, 78, 3	5.3
COX10	HNPP	3.148e-4	6.855599984274142e-4	3.708934714437962e-7	63	46	1	63, 61, 37	5.2
PRRT2	16p11.2prox	5.076e-4	0.0012082222222222223	1.202143178271605e-6	59	42	1	59, 66, 35	5.2
RBP3	10q11.21q11.23	1.353e-4	3.649166675617711e-4	1.1485808426438819e-7	54	37	2	90, 54, 2	5.1
SACS	13q12.12	2.018e-4	5.943888888888889e-4	3.1257491123456785e-7	51	34	1	51, 21, 21	1.6
OTOA	16p12.1	5.84e-4	0.002147123354523753	4.269082699541335e-6	43	27	1	43, 38, 19	1.5
NCAPH	2q11.2	7.36e-5	2.952888945546001e-4	8.177857124727774e-8	40	25	2	94, 40, 2	4.7
NSMCE3	15q11q13_BP3-BP5	2.374e-6	4.483777777777778e-5	5.623100400493828e-10	36	5.3	2	93, 36, 7	2.6
CHAT	10q11.21q11.23	1.353e-4	6.383533335252769e-4	3.8918888842283334e-7	35	21	3	54, 54, 35	1.2
MERTK	2q13	1.258e-4	5.997777879850733e-4	3.439077549602674e-7	35	21	2	95, 35, 2	4.4
TRPM1	15q13.3_BP4-BP5	9.97e-5	5.460711111111111e-4	2.9818802251412345e-7	33	18	2	65, 33, 19	0.93
CDC45	22q11.2_LCRA-D	1.417e-4	8.883333333333334e-4	7.690572211111111e-7	28	16	2	87, 28, 25	4.1
ALDH3A2	SMS	5.333e-5	3.613888888888889e-4	1.2775784011234569e-7	26	15	3	86, 28, 26	3.9
