GeneSymbol	region	AF_NAHR	all_carrier_allele_burden	dz_burden	dz_NAHR_contribution_perc	allele_NAHR_contribution_perc	NAHR_allele_contribution_rank	dz_contribution_by_allele_top3	NIRD
NPHP1	2q13_NPHP1	0.005873	0.006923934666937664	4.794087127202117e-5	98	85	1	98, 6, 2	7.7
ADRA2B	2q11.2	7.309999999999999e-5	8.122222222222221e-5	1.2534393827160487e-9	95	90	1	95, 10, 10	4.1
ALDOA	16p11.2prox	2.596e-4	2.8844444444444447e-4	1.5808037530864195e-8	95	90	1	95, 10, 10	4.1
CEP19	3q29	2.269e-5	2.5211111111111112e-5	1.2076402345679018e-10	95	90	1	95, 10, 10	4.1
CORO1A	16p11.2prox	2.596e-4	2.8844444444444447e-4	1.5808037530864195e-8	95	90	1	95, 10, 10	4.1
COX5A	15q24_BPA-BPC	2.521e-6	2.801111111111111e-6	1.4907824567901233e-12	95	90	1	95, 10, 10	4.1
EDC3	15q24_BPA-BPC	2.521e-6	2.801111111111111e-6	1.4907824567901233e-12	95	90	1	95, 10, 10	4.1
IGLL1	22q11.2_LCRD-H	1.26e-5	1.4e-5	3.723999999999999e-11	95	90	1	95, 10, 10	4.1
LAT	16p11.2dist	1.361e-4	1.5122222222222221e-4	4.344950493827161e-9	95	90	1	95, 10, 10	4.1
MIEF2	SMS	5.0410000000000005e-6	5.601111111111112e-6	5.96076467901235e-12	95	90	1	95, 10, 10	4.1
PMP22	HNPP	3.148e-4	3.497777777777778e-4	2.3245453827160505e-8	95	90	1	95, 10, 10	4.1
SLC18A3	10q11.21q11.23	1.412e-4	1.568888888888889e-4	4.6766834567901225e-9	95	90	1	95, 10, 10	4.1
OTUD7A	15q13.3_BP4-BP5	9.326000000000001e-5	1.2282199978574284e-4	1.5078888190369017e-8	94	76	1	94, 23, 4	7.1
RBM8A	1q21_TAR	1.739e-4	1.932222222222222e-4	1.3358034250493924e-5	90	90	1	90, 1, 1	9.8
UQCRC2	16p12.1	5.922999999999999e-4	7.201176657751637e-4	1.677501625614704e-7	90	82	1	90, 15, 12	4.7
PRODH	22q11.2_LCRA-D	1.771e-4	2.2799999999999999e-4	2.0619589999999997e-8	87	78	1	87, 58, 5	4.9
NDE1	16p13.11	3.126e-4	4.6474444444444447e-4	1.1826863864197529e-7	80	67	1	80, 63, 14	5.2
TUFM	16p11.2dist	1.361e-4	2.1000888807218575e-4	2.5580523069315836e-8	79	65	1	79, 23, 23	5.3
SCARF2	22q11.2_LCRA-D	1.771e-4	2.7843622196403647e-4	4.6162319701606164e-8	78	64	1	78, 17, 17	3.6
PEX11B	1q21_TAR	1.739e-4	2.775636665620479e-4	4.6800378995367696e-8	77	63	1	77, 33, 26	5.2
POLR3GL	1q21_TAR	1.739e-4	3.0755022137099876e-4	6.434592866535035e-8	72	57	1	72, 27, 27	2.9
ANAPC1	2q13	1.2859999999999998e-4	2.4103088772082183e-4	4.155792883548742e-8	70	53	1	70, 17, 17	2.5
SNAP29	22q11.2_LCRA-D	1.771e-4	3.423333260183119e-4	8.582769610275984e-8	68	52	1	68, 85, 3	5.3
NCAPH	2q11.2	7.309999999999999e-5	1.4655533453497465e-4	1.6134856080658334e-8	67	50	1	67, 48, 25	2.7
PRRT2	16p11.2prox	2.596e-4	5.19068888888889e-4	2.0204035141234567e-7	67	50	1	67, 71, 8	4.5
ZNHIT3	17q12	6.886e-5	1.3694444444444442e-4	1.401208126419753e-8	67	50	1	67, 85, 3	5.3
