GeneSymbol	region	AF_NAHR	all_carrier_allele_burden	dz_burden	dz_NAHR_contribution_perc	allele_NAHR_contribution_perc	NAHR_allele_contribution_rank	dz_contribution_by_allele_top3	NIRD
OTUD7A	15q13.3_BP4-BP5	9.97e-5	1.1341555555555556e-4	1.2857452365975308e-8	99	88	1	99, 4, 2	8
NPHP1	2q13_NPHP1	0.005811	0.006681944444444444	4.464838155864198e-5	98	87	1	98, 3, 2	7.8
ADRA2B	2q11.2	7.36e-5	8.177777777777777e-5	1.270644938271605e-9	95	90	1	95, 10, 10	4.1
ALDOA	16p11.2prox	5.076e-4	5.639999999999999e-4	6.043824e-8	95	90	1	95, 10, 10	4.1
ATPAF2	SMS	5.333e-5	5.925555555555555e-5	6.671319641975309e-10	95	90	1	95, 10, 10	4.1
B9D1	SMS	5.333e-5	5.925555555555555e-5	6.671319641975309e-10	95	90	1	95, 10, 10	4.1
CEP19	3q29	2.136e-5	2.3733333333333332e-5	1.070215111111111e-10	95	90	1	95, 10, 10	4.1
CORO1A	16p11.2prox	5.076e-4	5.639999999999999e-4	6.043824e-8	95	90	1	95, 10, 10	4.1
COX10	HNPP	3.148e-4	3.497777777777778e-4	2.3245453827160505e-8	95	90	1	95, 10, 10	4.1
COX5A	15q24_BPA-BPC	2.374e-6	2.6377777777777776e-6	1.3219956049382716e-12	95	90	1	95, 10, 10	4.1
DYNLT2B	3q29	2.136e-5	2.3733333333333332e-5	1.070215111111111e-10	95	90	1	95, 10, 10	4.1
EDC3	15q24_BPA-BPC	2.374e-6	2.6377777777777776e-6	1.3219956049382716e-12	95	90	1	95, 10, 10	4.1
FDFT1	8p23.1	9.495e-6	1.055e-5	2.1147474999999996e-11	95	90	1	95, 10, 10	4.1
GP1BB	22q11.2_LCRA-D	1.417e-4	1.5744444444444443e-4	4.709863086419754e-9	95	90	1	95, 10, 10	4.1
GRAP	SMS	5.333e-5	5.925555555555555e-5	6.671319641975309e-10	95	90	1	95, 10, 10	4.1
HJV	1q21_TAR	1.78e-4	1.9777777777777778e-4	7.43204938271605e-9	95	90	1	95, 10, 10	4.1
IGLL1	22q11.2_LCRD-H	1.187e-5	1.3188888888888888e-5	3.304989012345679e-11	95	90	1	95, 10, 10	4.1
LAT	16p11.2dist	1.3769999999999999e-4	1.5299999999999998e-4	4.447709999999998e-9	95	90	1	95, 10, 10	4.1
MIEF2	SMS	5.333e-5	5.925555555555555e-5	6.671319641975309e-10	95	90	1	95, 10, 10	4.1
NRROS	3q29	2.136e-5	2.3733333333333332e-5	1.070215111111111e-10	95	90	1	95, 10, 10	4.1
PEX11B	1q21_TAR	1.78e-4	1.9777777777777778e-4	7.43204938271605e-9	95	90	1	95, 10, 10	4.1
PIGW	17q12	6.886e-5	7.651111111111112e-5	1.1122505234567898e-9	95	90	1	95, 10, 10	4.1
SLC18A3	10q11.21q11.23	1.353e-4	1.5033333333333335e-4	4.2940211111111106e-9	95	90	1	95, 10, 10	4.1
ZNHIT3	17q12	6.886e-5	7.651111111111112e-5	1.1122505234567898e-9	95	90	1	95, 10, 10	4.1
NSMCE3	15q11q13_BP3-BP4	3.798e-5	4.483777777777778e-5	5.623100400493828e-10	93	85	1	93, 36, 7	4.6
NDE1	16p13.11	3.11e-4	3.7767777777777777e-4	4.5919503827160496e-8	90	82	1	90, 46, 6	4.7
PMP22	HNPP	3.148e-4	3.819e-4	4.6748570000000006e-8	90	82	1	90, 45, 6	4.7
RBM8A	1q21_TAR	1.78e-4	1.9777777777777778e-4	8.183565382716054e-6	90	90	1	90, 1, 1	9.8
