GeneSymbol	AFsum	AFnahr	region	percentNAHR
UQCRC2	5.922999999999999e-4	5.922999999999999e-4	16p12.1	1
MYH11	3.126e-4	3.126e-4	16p13.11	1
NDE1	3.126e-4	3.126e-4	16p13.11	1
ALDOA	2.596e-4	2.596e-4	16p11.2prox	1
CORO1A	2.596e-4	2.596e-4	16p11.2prox	1
GP1BB	1.771e-4	1.771e-4	22q11.2_LCRA-D	1
PI4KA	1.771e-4	1.771e-4	22q11.2_LCRA-D	1
PRODH	1.771e-4	1.771e-4	22q11.2_LCRA-D	1
SCARF2	1.771e-4	1.771e-4	22q11.2_LCRA-D	1
SLC25A1	1.771e-4	1.771e-4	22q11.2_LCRA-D	1
TXNRD2	1.771e-4	1.771e-4	22q11.2_LCRA-D	1
POLR3GL	1.739e-4	1.739e-4	1q21_TAR	1
RBM8A	1.739e-4	1.739e-4	1q21_TAR	1
RBP3	1.412e-4	1.412e-4	10q11.21q11.23	1
SLC18A3	1.412e-4	1.412e-4	10q11.21q11.23	1
CD19	1.361e-4	1.361e-4	16p11.2dist	1
LAT	1.361e-4	1.361e-4	16p11.2dist	1
TUFM	1.361e-4	1.361e-4	16p11.2dist	1
ANAPC1	1.2859999999999998e-4	1.2859999999999998e-4	2q13	1
ADRA2B	7.309999999999999e-5	7.309999999999999e-5	2q11.2	1
CNNM4	7.309999999999999e-5	7.309999999999999e-5	2q11.2	1
LMAN2L	7.309999999999999e-5	7.309999999999999e-5	2q11.2	1
NCAPH	7.309999999999999e-5	7.309999999999999e-5	2q11.2	1
PIGW	6.886e-5	6.886e-5	17q12	1
ZNHIT3	6.886e-5	6.886e-5	17q12	1
CEP19	2.269e-5	2.269e-5	3q29	1
NRROS	2.269e-5	2.269e-5	3q29	1
PCYT1A	2.269e-5	2.269e-5	3q29	1
RNF168	2.269e-5	2.269e-5	3q29	1
TFRC	2.269e-5	2.269e-5	3q29	1
IGLL1	1.26e-5	1.26e-5	22q11.2_LCRD-H	1
FDFT1	1.008e-5	1.008e-5	8p23.1	1
CDHR1	7.562000000000001e-6	7.562000000000001e-6	10q23	1
ATPAF2	5.0410000000000005e-6	5.0410000000000005e-6	SMS	1
B9D1	5.0410000000000005e-6	5.0410000000000005e-6	SMS	1
GRAP	5.0410000000000005e-6	5.0410000000000005e-6	SMS	1
MIEF2	5.0410000000000005e-6	5.0410000000000005e-6	SMS	1
TOP3A	5.0410000000000005e-6	5.0410000000000005e-6	SMS	1
COX5A	2.521e-6	2.521e-6	15q24_BPA-BPC	1
EDC3	2.521e-6	2.521e-6	15q24_BPA-BPC	1
MDH2	2.521e-6	2.521e-6	7q11.23_dist	1
NPHP1	0.0059273699999999995	0.005873	2q13_NPHP1	0.990827297772874
FAN1	9.578100000000001e-5	9.326000000000001e-5	15q13.3_BP4-BP5	0.9736795397834643
NSMCE3	3.7810999999999994e-5	3.5289999999999996e-5	15q11q13_BP3-BP4	0.9333262807119621
SGCG	2.6607e-4	2.117e-4	13q12.12	0.7956552786860601
TANGO2	2.3151999999999998e-4	1.771e-4	22q11.2_LCRA-D	0.7649447131997236
HJV	2.2827e-4	1.739e-4	1q21_TAR	0.7618171463617646
PEX11B	2.2833e-4	1.739e-4	1q21_TAR	0.7616169579117943
COX10	4.244e-4	3.148e-4	HNPP	0.7417530631479736
OTOA	8.098e-4	5.922999999999999e-4	16p12.1	0.7314151642380834
ATP2A1	1.906e-4	1.361e-4	16p11.2dist	0.7140608604407136
CHAT	2.4998e-4	1.412e-4	10q11.21q11.23	0.5648451876150091
NCF1	9.391e-5	3.935e-5	7q11.23	0.41901820892343733
SACS	5.448499999999999e-4	2.117e-4	13q12.12	0.3885473065981463
MIPEP	6.9073e-4	2.117e-4	13q12.12	0.3064873394814182
CDC45	8.349000000000001e-4	1.771e-4	22q11.2_LCRA-D	0.2121212121212121
MERTK	6.514e-4	1.2859999999999998e-4	2q13	0.19742093951489098
TRPM1	4.85171e-4	9.326000000000001e-5	15q13.3_BP4-BP5	0.192220887068683
LZTR1	0.00114139	1.771e-4	22q11.2_LCRA-D	0.15516168881802014
SNAP29	0.0011611	1.771e-4	22q11.2_LCRA-D	0.15252777538541037
ERCC6	9.5709e-4	1.412e-4	10q11.21q11.23	0.14753053526836557
