GeneSymbol	fracNAHR	AFnahr	region	AFsum
NPHP1	0.9865937886456978	0.005873	2q13_NPHP1	0.0062005804999999995
CORO1A	0.9424083769633509	2.596e-4	16p11.2prox	2.596e-4
ALDOA	0.9424083769633509	2.596e-4	16p11.2prox	2.596e-4
MIEF2	0.9424083769633509	5.0410000000000005e-6	SMS	5.0410000000000005e-6
ADRA2B	0.9424083769633508	7.309999999999999e-5	2q11.2	7.309999999999999e-5
NRROS	0.9424083769633508	2.269e-5	3q29	2.269e-5
CEP19	0.9424083769633508	2.269e-5	3q29	2.269e-5
RBM8A	0.9424083769633502	1.739e-4	1q21_TAR	1.739e-4
COX5A	0.9424083769633502	2.521e-6	15q24_BPA-BPC	2.521e-6
EDC3	0.9424083769633502	2.521e-6	15q24_BPA-BPC	2.521e-6
SLC18A3	0.9424083769633501	1.412e-4	10q11.21q11.23	1.412e-4
LAT	0.94240837696335	1.361e-4	16p11.2dist	1.361e-4
PRODH	0.8522593408127421	1.771e-4	22q11.2_LCRA-D	2.0619e-4
UQCRC2	0.8280273511717754	5.922999999999999e-4	16p12.1	7.128634099999999e-4
PEX11B	0.8193437296001438	1.739e-4	1q21_TAR	2.1938773e-4
MYH11	0.8159260683390555	3.126e-4	16p13.11	4.0301237e-4
TUFM	0.7725874678666923	1.361e-4	16p11.2dist	1.9006201e-4
NDE1	0.7612192983172562	3.126e-4	16p13.11	4.3431069e-4
SCARF2	0.7453029584544876	1.771e-4	22q11.2_LCRA-D	2.5602417999999997e-4
COX10	0.7285332099153935	3.148e-4	HNPP	4.547679e-4
POLR3GL	0.7256187459635716	1.739e-4	1q21_TAR	2.6591269e-4
NCAPH	0.683907740773176	7.309999999999999e-5	2q11.2	1.1911685e-4
SLC25A1	0.6734553396914573	1.771e-4	22q11.2_LCRA-D	3.0136452e-4
OTOA	0.652440616749778	5.922999999999999e-4	16p12.1	0.00107639657
CD19	0.612546334720722	1.361e-4	16p11.2dist	2.5584752e-4
PRRT2	0.6078361484521418	2.596e-4	16p11.2prox	4.51402e-4
ANAPC1	0.6052139277549178	1.2859999999999998e-4	2q13	2.5772748999999996e-4
RBP3	0.5863733585410782	1.412e-4	10q11.21q11.23	2.889122e-4
CNNM4	0.5548804257563855	7.309999999999999e-5	2q11.2	1.6541557e-4
GRAP	0.547881045468417	5.0410000000000005e-6	SMS	9.09e-6
IGLL1	0.5390436335215698	1.26e-5	22q11.2_LCRD-H	2.580586e-5
SNAP29	0.5373549718441006	1.771e-4	22q11.2_LCRA-D	3.8221181e-4
PIGW	0.5339446702744927	6.886e-5	17q12	1.405e-4
SGCG	0.5266641653740167	2.117e-4	13q12.12	5.0795044e-4
CDC45	0.5225642153431092	1.771e-4	22q11.2_LCRA-D	4.2601551e-4
CHAT	0.5131329777173401	1.412e-4	10q11.21q11.23	3.546429e-4
HJV	0.5003940047732853	1.739e-4	1q21_TAR	3.5293e-4
FDFT1	0.48670724819293837	1.008e-5	8p23.1	2.322458e-5
GP1BB	0.4838491919077723	1.771e-4	22q11.2_LCRA-D	3.7291547e-4
PCYT1A	0.3747422636317906	2.269e-5	3q29	8.021039e-5
SACS	0.3660828191367945	2.117e-4	13q12.12	8.28363e-4
TFRC	0.3645704441677135	2.269e-5	3q29	8.181944e-5
MIPEP	0.32493720004032567	2.117e-4	13q12.12	9.5342847e-4
PI4KA	0.32017040217831044	1.771e-4	22q11.2_LCRA-D	8.1631092e-4
TXNRD2	0.31504960444564845	1.771e-4	22q11.2_LCRA-D	7.428054e-4
LMAN2L	0.29853825009467255	7.309999999999999e-5	2q11.2	3.4930561e-4
TCTEX1D2	0.23715793568624763	2.269e-5	3q29	1.2328823e-4
ATP2A1	0.2271250699221784	1.361e-4	16p11.2dist	7.9301964e-4
ERCC6	0.21715651396429825	1.412e-4	10q11.21q11.23	0.00100644619
TANGO2	0.20751991557077604	1.771e-4	22q11.2_LCRA-D	0.001029855
LZTR1	0.19590345275417895	1.771e-4	22q11.2_LCRA-D	0.00141792552
B9D1	0.14782067670412738	5.0410000000000005e-6	SMS	3.6931e-5
MERTK	0.14445707388216508	1.2859999999999998e-4	2q13	0.00115141094
ZNHIT3	0.13880156182978526	6.886e-5	17q12	4.9266e-4
ABCC6	0.12154137980487346	3.126e-4	16p13.11	0.00384675746
