seqnames	start	end	width	strand	length	identity	score	info	biallelic	omim_ddd	pRec	allgenescoding	allgenes	numallgenes	name	freq	freqCMA
chr5	69477978	70475694	997717	*	623822	0.99685006299874	983	624kb_99.7%	SMN1	SMN1		SERF1A,SMN1,GTF2H2,NAIP	SERF1A,SMN1,GTF2H2B,CDH12P1,CDH12P4,GUSBP9,GTF2H2,NAIP	8	NA	NA	NA
chr16	32136453	32910058	773606	*	349102	0.989143574084365	972	349kb_98.9%				TP53TG3,TP53TG3D	SLC6A10P,TP53TG3,PABPC1P13,ACTR3BP3,TP53TG3D,HERC2P4,HERC2P5,IGHV2OR16-5,ABCD1P3	9	NA	NA	NA
chr10	46650229	47363406	713178	*	308160	0.9875064901349948	970	308kb_98.8%				SYT15,ANXA8L1,AGAP10,FAM25B,GPRIN2,NPY4R	RHEBP1,SYT15,ANXA8L1,FRMPD2P2,CTGLF8P,AGAP10,CTSLP5,FAM25B,CTSLP7,GLUD1P7,GLUD1P8,BMS1P1,BMS1P2,GPRIN2,DUSP8P3,FAM35BP,RNA5SP311,RNA5SP312,LINC00842,HNRNPA1P33,DUSP8P4,RN7SL248P,NPY4R	23	NA	NA	NA
chrY	23768417	25354394	1585978	*	236681	0.9919723171695235	960	237kb_99.2%				BPY2,PRY,PRY2,RBMY1D,RBMY1E,RBMY1J,RBMY1F,DAZ1	BPY2,PRY,TTTY4,TTTY5,TTTY6,TTTY17A,PRY2,CDY10P,CDY11P,CDY12P,CDY13P,OFD1P8Y,OFD1P9Y,RBMY2FP,RBMY2UP,RBMY2WP,RBMY1D,RBMY1E,RBMY1J,RBMY1F,DAZ1,TTTY6B,ZNF736P3Y,USP9YP3,TSPY21P,TCEB1P5,TCEB1P8,TCEB1P15,USP9YP8,ZNF736P11Y,TRIM60P8Y,TRIM60P9Y,TSPY22P,TTTY25P,TSPY23P,RBMY1KP,USP9YP17,USP9YP24,HSFY5P,HSFY7P,RBMY2AP,RBMY2BP	42	NA	NA	NA
chr7	64514250	65200736	686487	*	190852	0.9850145662607676	957	191kb_98.5%				ZNF92	ZNF92,INTS4L1,INTS4L2,CCT6P3,RSL24D1P3	5	NA	NA	NA
chr10	47320042	49021833	1701792	*	279681	0.9906536375370512	954	280kb_99.1%	RBP3	GDF2,RBP3	RBP3	ANXA8L2,FAM21B,PTPN20B,ASAH2C,AGAP9,ZNF488,FAM25G,ANTXRL,GDF10,GDF2,ANXA8,RBP3	FRMPD2P1,ANXA8L2,FAM21B,PTPN20B,ASAH2C,AGAP9,ZNF488,FAM25G,FAM25HP,GLUD1P6,BMS1P5,BMS1P6,CTGLF11P,CTSLP2,CTSLP3,ANTXRL,DUSP8P1,SLC9A3P4,FAM35DP,GDF10,GDF2,RNA5SP313,RNA5SP314,GLUD1P2,RHEBP2,AHCYP1,DUSP8P2,ANTXRLP1,RN7SL453P,ANXA8,RBP3	31	NA	NA	NA
chr10	46552113	49022893	2470781	*	691768	0.9927837078326838	942	692kb_99.3%	RBP3	GDF2,RBP3	RBP3	SYT15,ANXA8L1,ANXA8L2,FAM21B,PTPN20A,PTPN20B,ASAH2C,AGAP10,AGAP9,ZNF488,FAM25B,FAM25G,GPRIN2,ANTXRL,GDF10,GDF2,ANXA8,NPY4R,RBP3	RHEBP1,FRMPD2P1,SYT15,ANXA8L1,ANXA8L2,FAM21B,PTPN20A,PTPN20B,FRMPD2P2,ASAH2C,CTGLF8P,AGAP10,AGAP9,ZNF488,CTSLP5,FAM25B,FAM25G,FAM25HP,GLUD1P6,CTSLP7,GLUD1P7,GLUD1P8,BMS1P1,BMS1P2,BMS1P5,BMS1P6,CTGLF11P,GPRIN2,CTSLP2,CTSLP3,ANTXRL,DUSP8P1,DUSP8P3,FAM35BP,SLC9A3P4,FAM35DP,GDF10,GDF2,RNA5SP311,RNA5SP312,RNA5SP313,RNA5SP314,GLUD1P2,LINC00842,HNRNPA1P33,RHEBP2,AHCYP1,DUSP8P2,DUSP8P4,ANTXRLP1,RN7SL248P,RN7SL453P,ANXA8,NPY4R,RBP3	55	NA	NA	NA
chr15	30694846	32824728	2129883	*	201228	0.9849573617985569	924	201kb_98.5%	FAN1,TRPM1	OTUD7A,FAN1,TRPM1	CHRNA7,MTMR10	KLF13,ARHGAP11B,CHRNA7,OTUD7A,MTMR10,FAN1,GOLGA8H,GOLGA8K,GOLGA8O,GOLGA8R,GOLGA8Q,TRPM1	KLF13,ULK4P1,ULK4P2,ARHGAP11B,CHRNA7,OTUD7A,MTMR10,FAN1,MIR211,RNU6-18P,DNM1P31,DNM1P32,GOLGA8H,GOLGA8K,HERC2P10,UBE2CP4,GOLGA8O,GOLGA8R,GOLGA8Q,GOLGA8UP,RN7SL82P,RN7SL185P,RN7SL196P,RN7SL539P,RN7SL628P,RN7SL796P,RNU6-466P,DNM1P50,TRPM1	29	15q13.3_BP4-BP5	93.26	896.8
chr15	21437363	23386119	1948757	*	306463	0.9861255681762562	920	306kb_98.6%		NIPA1	TUBGCP5	CYFIP1,OR4M2,OR4N4,NIPA1,NIPA2,TUBGCP5,GOLGA8I,POTEB,GOLGA6L1	CYFIP1,ABCB10P1,OR11H3P,OR11J1P,OR11K1P,OR4M2,OR4N3P,OR4N4,OR4Q1P,NIPA1,NIPA2,TUBGCP5,GOLGA8I,WHAMMP3,GOLGA8DP,POTEB,CXADRP2,MIR1268A,GOLGA6L1,ELMO2P1,NF1P2,MIR4509-2,MIR4509-3,MIR4509-1,RN7SL495P,RN7SL545P,RNU6-631P,RNU6-1235P,HERC2P2,GRAMD4P6,IGHV1OR15-1,IGHV1OR15-3,IGHV1OR15-4,IGHV4OR15-8,OR4H6P	35	15q11.2	2764	2287
chr16	32212644	33647428	1434785	*	215667	0.9695641892361836	918	216kb_97%				TP53TG3,TP53TG3B,TP53TG3C,TP53TG3D	SLC6A10P,TP53TG3,TP53TG3B,PABPC1P13,ACTR3BP3,HERC2P8,TP53TG3C,TP53TG3D,ENPP7P13,HERC2P5,BMS1P8,IGHV1OR16-2,IGHV1OR16-4,IGHV2OR16-5,IGHV3OR16-10,IGHV3OR16-12,IGHV3OR16-13,IGHV3OR16-15,IGHV3OR16-6,IGHV3OR16-8,ABCD1P3	21	NA	NA	NA
chr1	146215217	148403335	2188119	*	742642	0.9686645786260405	899	743kb_96.9%		GJA5,GJA8		BCL9,GPR89B,CHD1L,NBPF12,PPIAL4A,NBPF14,NBPF24,ACP6,NBPF20,PPIAL4D,FMO5,GJA5,GJA8,PRKAB2	BCL9,RNVU1-11,GPR89B,CHD1L,NBPF12,PPIAL4A,NBPF14,NBPF24,ABHD17AP1,ACP6,OR13Z1P,OR13Z2P,OR13Z3P,PDZK1P2,NBPF13P,NBPF20,HYDIN2,PPIAL4D,CCT8P1,RNVU1-9,FMO5,GJA5,GJA8,RNA5SP58,PFN1P8,PFN1P3,PFN1P4,LINC00624,PDIA3P1,RN7SL261P,RNVU1-8,RNVU1-10,RNVU1-12,RNVU1-13,RNVU1-14,RNU1-120P,RNU1-122P,RNU1-129P,RNU1-135P,LINC01138,PRKAB2	41	1q21.1_BP3-BP4	267.2	672.6
chr16	21407255	21839360	432106	*	103730	0.9972428419936373	898	104kb_99.7%	OTOA	OTOA	OTOA	OTOA,METTL9,NPIPB3,IGSF6	OTOA,METTL9,SLC7A5P2,NPIPB3,RRN3P1,MIR3680-1,MIR3680-2,RNU6-196P,RNU6-1005P,IGSF6	10	NA	NA	NA
chr19	43437305	43780197	342893	*	350901	0.9475607080059618	895	351kb_94.8%				PSG11,PSG2,PSG4,PSG5,PSG9	CEACAMP10,CEACAMP7,CEACAMP8,CEACAMP9,PSG11,PSG2,PSG4,PSG5,PSG7,PSG9	10	NA	NA	NA
