ensembl_gene_id	chromosome_name	start_position	end_position	hgnc_symbol	hgnc_id	ensembl_transcript_id	entrezgene_id	gene_biotype
ENSG00000159314	chr17_ctg5_hap1	86404	118136	ARHGAP27	31813	ENST00000532038	201176	protein_coding
ENSG00000225190	chr17_ctg5_hap1	128328	183214	PLEKHM1	29017	ENST00000430334	9842	protein_coding
ENSG00000120088	chr17_ctg5_hap1	954315	1005883	CRHR1	2357	ENST00000293493	1394	protein_coding
ENSG00000185294	chr17_ctg5_hap1	943102	945284	SPPL2C	28902	ENST00000329196	162540	protein_coding
ENSG00000186868	chr17_ctg5_hap1	762281	895830	MAPT	6893	ENST00000415613	4137	protein_coding
ENSG00000256762	chr17_ctg5_hap1	790689	791133	STH	18839	ENST00000537309	246744	protein_coding
ENSG00000120071	chr17_ctg5_hap1	790689	791133	KANSL1	24565	ENST00000574590	284058	protein_coding
ENSG00000176681	chr17_ctg5_hap1	415627	458604	LRRC37A	29069	ENST00000496930	9884	protein_coding
ENSG00000238083	chr17_ctg5_hap1	197706	240669	LRRC37A2	32404	ENST00000576629	474170	protein_coding
ENSG00000185829	chr17_ctg5_hap1	391583	418517	ARL17A	24096	ENST00000445552	51326	protein_coding
ENSG00000073969	chr17_ctg5_hap1	266212	380618	NSF	8016	ENST00000398238	4905	protein_coding
