ensembl_gene_id	chromosome_name	start_position	end_position	hgnc_symbol	hgnc_id	ensembl_transcript_id	entrezgene_id	gene_biotype
ENSG00000159314	chr17_GL000258v2_alt	84423	120795	ARHGAP27	31813	ENST00000532038	201176	protein_coding
ENSG00000225190	chr17_GL000258v2_alt	126335	181185	PLEKHM1	29017	ENST00000430334	9842	protein_coding
ENSG00000120088	chr17_GL000258v2_alt	952323	1003890	CRHR1	2357	ENST00000293493	1394	protein_coding
ENSG00000185294	chr17_GL000258v2_alt	941109	943346	SPPL2C	28902	ENST00000329196	162540	protein_coding
ENSG00000186868	chr17_GL000258v2_alt	760287	893546	MAPT	6893	ENST00000415613	4137	protein_coding
ENSG00000256762	chr17_GL000258v2_alt	788696	789140	STH	18839	ENST00000537309	246744	protein_coding
ENSG00000120071	chr17_GL000258v2_alt	563071	758707	KANSL1	24565	ENST00000574590	284058	protein_coding
ENSG00000176681	chr17_GL000258v2_alt	413634	459002	LRRC37A	29069	ENST00000496930	9884	protein_coding
ENSG00000238083	chr17_GL000258v2_alt	195712	241065	LRRC37A2	32404	ENST00000576629	474170	protein_coding
ENSG00000275748	chr17_GL000258v2_alt	389669	420973	ARL17B	32387	ENST00000626686	100506084	protein_coding
ENSG00000073969	chr17_GL000258v2_alt	1576739	1743341	NSF	8016	ENST00000398238	4905	protein_coding
ENSG00000277626	chr17_GL000258v2_alt	1748388	1804487	WNT3	12782	ENST00000611547	7473	protein_coding
