seqnames	start	end	width	strand	length	identity	score	info	biallelic	omim_ddd	pRec	allgenescoding	allgenes	numallgenes	numcodinggenes	name	freq	freqCMA
chr5	70188555	71182333	993779	*	624590	0.9968395267295346	983	625kb_99.7%	SMN1	SMN1		SERF1A,SMN1,GTF2H2,NAIP	SERF1A,SMN1,GTF2H2B,CDH12P1,CDH12P4,GTF2H2,OCLNP1,NAIPP1,NAIPP4,GUSBP14,GUSBP15,GUSBP16,NAIP	13	4	NA	NA	NA
chr21	6003024	8202304	2199281	*	322229	0.997777977773571	958	322kb_99.8%				CBSL,U2AF1L5,SMIM11B,CRYAA2,KCNE1B,SIK1B,SMIM34B,FAM243B	MIR8069-1,CBSL,U2AF1L5,SMIM11B,CRYAA2,KCNE1B,SIK1B,LINC01669,SMIM34B,FAM243B,CTBP2P9,CTBP2P10	12	8	NA	NA	NA
chr7	65064706	65726982	662277	*	190822	0.9851694249090776	957	191kb_98.5%				ZNF92	ZNF92,INTS4P1,INTS4P2,CCT6P3,RSL24D1P3,GTF2IP14,SNORA15B-1,SNORA22C	8	1	NA	NA	NA
chrY	22351992	24633737	2281746	*	797438	0.9984550523050068	957	797kb_99.8%				BPY2,PRY,DAZ2,RBMY1J,CDY1B,BPY2B,DAZ1,PRYP3	BPY2,PRY,DAZ2,GOLGA2P2Y,TTTY4,TTTY6,TTTY17A,RBMY2CP,CDY13P,CDY14P,CDY15P,CDY17P,CDY18P,OFD1P9Y,OFD1P10Y,OFD1P11Y,OFD1P12Y,RBMY2WP,RBMY2XP,XKRYP3,XKRYP4,RBMY1J,CDY1B,CICP2,GOLGA6L11P,PPP1R12BP2,BPY2B,DAZ1,TTTY3B,TTTY17B,TTTY4B,CSPG4P2Y,PRYP3,DNM1P24,ZNF736P3Y,TRAPPC2P10,TRAPPC2P9,TSPY21P,RAB9AP1,RAB9AP5,CSPG4P3Y,ELOCP8,ELOCP9,ELOCP10,ELOCP16,ZNF736P11Y,UBE2Q2P4Y,TRIM60P5Y,ZNF736P12Y,TRIM60P8Y,TRIM60P9Y,USP9YP11,LINC00265-2P,LINC00266-2P,USP9YP12,USP9YP13,USP9YP18,USP9YP24,USP9YP25,USP9YP29,USP9YP31,USP9YP35,HSFY6P,HSFY7P,REREP1Y,RN7SL818P,RNU1-86P,RNU1-97P,RBMY2BP	69	8	NA	NA	NA
chr17	36300613	38034442	1733830	*	448944	0.991103567482804	955	449kb_99.1%	ZNHIT3,PIGW	HNF1B,ZNHIT3,PIGW		TADA2A,HNF1B,ZNHIT3,DUSP14,TBC1D3F,AATF,GGNBP2,DDX52,PIGW,MRM1,MYO19,C17orf78,DHRS11,TBC1D3D,TBC1D3G,TBC1D3H,TBC1D3K,TBC1D3L,SYNRG,LHX1,ACACA	TADA2A,HNF1B,ZNHIT3,DUSP14,TBC1D3F,AATF,GGNBP2,DDX52,PIGW,MRM1,MYO19,C17orf78,DHRS11,TBC1D3D,TBC1D3G,TBC1D3H,MIR2909,HMGB1P24,RNA5SP439,RNU6-489P,RNU6-1192P,YWHAEP7,MIR378J,TBC1D3K,TBC1D3L,TBC1D3J,LHX1-DT,SYNRG,LHX1,ACACA	30	21	17q12	68.86	463.4
chr1	146380249	148811725	2431477	*	489302	0.9833190953644171	924	489kb_98.3%		CHD1L,GJA5,GJA8		BCL9,GPR89B,PDE4DIP,NUDT4B,CHD1L,NBPF12,NBPF14,ACP6,NBPF11,PPIAL4G,FMO5,GJA5,GJA8,NOTCH2NLB,PRKAB2	BCL9,RNVU1-1,GPR89B,PDE4DIP,NUDT4B,CHD1L,NBPF12,NBPF14,LINC02806,ABHD17AP1,ACP6,OR13Z1P,OR13Z2P,OR13Z3P,PDZK1P1,NBPF11,NBPF13P,HYDIN2,PPIAL4G,CCT8P1,RPL7AP15,RNVU1-7,FMO5,GJA5,GJA8,RNA5SP57,PFN1P8,PFN1P4,MIR5087,LINC00624,PDIA3P1,RN7SL261P,RNU6-1171P,RNVU1-2,RNVU1-3,RNVU1-8,RNVU1-22,RNVU1-21,RNU1-129P,LINC01138,MIR6077,PDE4DIPP1,LINC01731,RNU1-151P,RNA5SP536,SEC22B3P,SEC22B4P,NOTCH2NLB,LINC02804,LINC02805,RNVU1-25,RNVU1-27,RNU1-155P,SSBL4P,PDE4DIPP6,PRKAB2	56	15	1q21.1_BP3-BP4	267.2	672.6
chr1	144904297	146209950	1305654	*	320052	0.9689612937897591	910	320kb_96.9%	POLR3GL,HJV,PEX11B,RBM8A	POLR3GL,HJV,PEX11B,RBM8A	ITGA10	PIAS3,TXNIP,CD160,RNF115,ANKRD35,NUDT17,ANKRD34A,POLR3GL,LIX1L,POLR3C,NOTCH2NLA,GPR89A,NBPF10,NBPF20,FAM72D,PPIAL4D,SRGAP2B,HJV,ITGA10,PDZK1,PEX11B,RBM8A	GNRHR2,PIAS3,TXNIP,CD160,RNF115,ANKRD35,NUDT17,ANKRD34A,POLR3GL,LIX1L,POLR3C,NOTCH2NLA,GPR89A,NBPF10,NBPF20,FAM72D,PPIAL4D,SRGAP2B,LIX1L-AS1,PFN1P3,NBPF25P,RNVU1-6,RNVU1-14,HJV,LINC01145,MIR6736,LINC01719,RNU1-153P,RNU1-154P,RNVU1-31,PDE4DIPP5,ITGA10,PDZK1,PEX11B,RBM8A	35	22	1q21_TAR	173.9	269
chr16	21395934	21828039	432106	*	103730	0.997252482406247	899	104kb_99.7%	OTOA	OTOA	OTOA	OTOA,METTL9,NPIPB3,IGSF6	OTOA,METTL9,SLC7A5P2,NPIPB3,RRN3P1,MIR3680-1,RNU6-196P,RNU6-1005P,SMG1P3,IGSF6	10	4	NA	NA	NA
chr19	42943585	43269012	325428	*	349606	0.9475495271820278	895	350kb_94.8%				PSG11,PSG2,PSG4,PSG5,PSG9	CEACAMP10,CEACAMP7,CEACAMP8,CEACAMP9,PSG11,PSG2,PSG4,PSG5,PSG9	9	5	NA	NA	NA
chr2	130623447	131386379	762933	*	170381	0.9632470756715831	890	170kb_96.3%			ARHGEF4	PLEKHB2,GPR148,AMER3,FAM168B,RAB6D,POTEE,POTEJ,SMIM39,ARHGEF4	PLEKHB2,GPR148,CYCSP8,CYP4F30P,AMER3,FAM168B,RAB6D,POTEE,POTEJ,NEK2P4,MTND6P10,MTND1P26,MTND2P18,MTND4P21,MTND5P23,ARHGAP42P1,MTATP6P4,RNU6-127P,MED15P8,KLF2P3,KLF2P4,FAR2P3,FAR2P4,MTCYBP10,MTCO1P18,MTCO2P18,MTCO3P18,MTND3P18,SMIM39,SSBP3P2,ARHGEF4,NF1P8	32	9	2q21.1	100.8	119.6
