GeneSymbol	AFsum	AFnahr	region	percentNAHR
COX10	3.148e-4	3.148e-4	HNPP	1
MYH11	3.126e-4	3.126e-4	16p13.11	1
ALDOA	2.596e-4	2.596e-4	16p11.2prox	1
CORO1A	2.596e-4	2.596e-4	16p11.2prox	1
GP1BB	1.771e-4	1.771e-4	22q11.2_LCRA-D	1
PI4KA	1.771e-4	1.771e-4	22q11.2_LCRA-D	1
SCARF2	1.771e-4	1.771e-4	22q11.2_LCRA-D	1
SNAP29	1.771e-4	1.771e-4	22q11.2_LCRA-D	1
TXNRD2	1.771e-4	1.771e-4	22q11.2_LCRA-D	1
HJV	1.739e-4	1.739e-4	1q21_TAR	1
PEX11B	1.739e-4	1.739e-4	1q21_TAR	1
POLR3GL	1.739e-4	1.739e-4	1q21_TAR	1
CHAT	1.412e-4	1.412e-4	10q11.21q11.23	1
RBP3	1.412e-4	1.412e-4	10q11.21q11.23	1
SLC18A3	1.412e-4	1.412e-4	10q11.21q11.23	1
CD19	1.361e-4	1.361e-4	16p11.2dist	1
LAT	1.361e-4	1.361e-4	16p11.2dist	1
TUFM	1.361e-4	1.361e-4	16p11.2dist	1
ANAPC1	1.2859999999999998e-4	1.2859999999999998e-4	2q13	1
ADRA2B	7.309999999999999e-5	7.309999999999999e-5	2q11.2	1
CNNM4	7.309999999999999e-5	7.309999999999999e-5	2q11.2	1
LMAN2L	7.309999999999999e-5	7.309999999999999e-5	2q11.2	1
NCAPH	7.309999999999999e-5	7.309999999999999e-5	2q11.2	1
PIGW	6.886e-5	6.886e-5	17q12	1
ZNHIT3	6.886e-5	6.886e-5	17q12	1
CEP19	2.269e-5	2.269e-5	3q29	1
NRROS	2.269e-5	2.269e-5	3q29	1
PCYT1A	2.269e-5	2.269e-5	3q29	1
TCTEX1D2	2.269e-5	2.269e-5	3q29	1
TFRC	2.269e-5	2.269e-5	3q29	1
IGLL1	1.26e-5	1.26e-5	22q11.2_LCRD-H	1
FDFT1	1.008e-5	1.008e-5	8p23.1	1
ATPAF2	5.0410000000000005e-6	5.0410000000000005e-6	SMS	1
B9D1	5.0410000000000005e-6	5.0410000000000005e-6	SMS	1
GRAP	5.0410000000000005e-6	5.0410000000000005e-6	SMS	1
MIEF2	5.0410000000000005e-6	5.0410000000000005e-6	SMS	1
TOP3A	5.0410000000000005e-6	5.0410000000000005e-6	SMS	1
COX5A	2.521e-6	2.521e-6	15q24_BPA-BPC	1
EDC3	2.521e-6	2.521e-6	15q24_BPA-BPC	1
FAN1	9.578100000000001e-5	9.326000000000001e-5	15q13.3_BP4-BP5	0.9736795397834643
NPHP1	0.0060757499999999996	0.005873	2q13_NPHP1	0.9666296342015389
NSMCE3	3.7810999999999994e-5	3.5289999999999996e-5	15q11q13_BP3-BP4	0.9333262807119621
NDE1	3.4151e-4	3.126e-4	16p13.11	0.9153465491493661
SLC25A1	2.0603e-4	1.771e-4	22q11.2_LCRA-D	0.8595835557928456
MIPEP	2.4631e-4	2.117e-4	13q12.12	0.8594860135601478
OTOA	7.079999999999999e-4	5.922999999999999e-4	16p12.1	0.8365819209039549
MERTK	1.5750999999999997e-4	1.2859999999999998e-4	2q13	0.8164560980255222
PRODH	2.6389e-4	1.771e-4	22q11.2_LCRA-D	0.6711129637348895
ATP2A1	2.2307000000000002e-4	1.361e-4	16p11.2dist	0.6101223831084412
SGCG	3.8516e-4	2.117e-4	13q12.12	0.5496417073424031
CDC45	3.32e-4	1.771e-4	22q11.2_LCRA-D	0.533433734939759
UQCRC2	0.00119951	5.922999999999999e-4	16p12.1	0.49378496219289536
SACS	4.4903e-4	2.117e-4	13q12.12	0.47146070418457564
TRPM1	2.4058100000000002e-4	9.326000000000001e-5	15q13.3_BP4-BP5	0.38764490961464126
RNF168	8.051e-5	2.269e-5	3q29	0.28182834430505527
ERCC6	5.7494e-4	1.412e-4	10q11.21q11.23	0.24559084426200992
ABCC6	0.00146711	3.126e-4	16p13.11	0.21307195779457574
LZTR1	8.7331e-4	1.771e-4	22q11.2_LCRA-D	0.2027916776402423
TANGO2	9.927e-4	1.771e-4	22q11.2_LCRA-D	0.17840233706054195
RBM8A	0.0015379	1.739e-4	1q21_TAR	0.11307627283958645
