GeneSymbol	AFsum	AFnahr	region	percentNAHR
MYH11	3.126e-4	3.126e-4	16p13.11	1
ALDOA	2.596e-4	2.596e-4	16p11.2prox	1
CORO1A	2.596e-4	2.596e-4	16p11.2prox	1
PI4KA	1.771e-4	1.771e-4	22q11.2_LCRA-D	1
SCARF2	1.771e-4	1.771e-4	22q11.2_LCRA-D	1
SNAP29	1.771e-4	1.771e-4	22q11.2_LCRA-D	1
TXNRD2	1.771e-4	1.771e-4	22q11.2_LCRA-D	1
POLR3GL	1.739e-4	1.739e-4	1q21_TAR	1
RBP3	1.412e-4	1.412e-4	10q11.21q11.23	1
SLC18A3	1.412e-4	1.412e-4	10q11.21q11.23	1
LAT	1.361e-4	1.361e-4	16p11.2dist	1
ANAPC1	1.2859999999999998e-4	1.2859999999999998e-4	2q13	1
ADRA2B	7.309999999999999e-5	7.309999999999999e-5	2q11.2	1
CNNM4	7.309999999999999e-5	7.309999999999999e-5	2q11.2	1
LMAN2L	7.309999999999999e-5	7.309999999999999e-5	2q11.2	1
NCAPH	7.309999999999999e-5	7.309999999999999e-5	2q11.2	1
CEP19	2.269e-5	2.269e-5	3q29	1
NRROS	2.269e-5	2.269e-5	3q29	1
TCTEX1D2	2.269e-5	2.269e-5	3q29	1
TFRC	2.269e-5	2.269e-5	3q29	1
IGLL1	1.26e-5	1.26e-5	22q11.2_LCRD-H	1
FDFT1	1.008e-5	1.008e-5	8p23.1	1
ATPAF2	5.0410000000000005e-6	5.0410000000000005e-6	SMS	1
MIEF2	5.0410000000000005e-6	5.0410000000000005e-6	SMS	1
COX5A	2.521e-6	2.521e-6	15q24_BPA-BPC	1
EDC3	2.521e-6	2.521e-6	15q24_BPA-BPC	1
UQCRC2	6.187079999999999e-4	5.922999999999999e-4	16p12.1	0.9573175068045022
NPHP1	0.0061903209999999995	0.005873	2q13_NPHP1	0.9487391687765465
TUFM	1.44906e-4	1.361e-4	16p11.2dist	0.9392295695140297
CD19	1.5382e-4	1.361e-4	16p11.2dist	0.8848004160707321
PRODH	2.052e-4	1.771e-4	22q11.2_LCRA-D	0.8630604288499025
MIPEP	2.49957e-4	2.117e-4	13q12.12	0.8469456746560409
PEX11B	2.0571e-4	1.739e-4	1q21_TAR	0.8453648339895969
NDE1	4.1827e-4	3.126e-4	16p13.11	0.747364142778588
OTOA	8.562979999999999e-4	5.922999999999999e-4	16p12.1	0.6916984507729785
CHAT	2.12189e-4	1.412e-4	10q11.21q11.23	0.6654444858121769
SLC25A1	3.0918199999999997e-4	1.771e-4	22q11.2_LCRA-D	0.5728017801812525
COX10	5.552900000000001e-4	3.148e-4	HNPP	0.5669109834500891
ZNHIT3	1.2325e-4	6.886e-5	17q12	0.5587018255578095
CDC45	3.1957999999999997e-4	1.771e-4	22q11.2_LCRA-D	0.5541648413542776
PCYT1A	5.7854000000000005e-5	2.269e-5	3q29	0.3921941438794206
GRAP	1.4008000000000002e-5	5.0410000000000005e-6	SMS	0.3598657909765848
SGCG	6.09522e-4	2.117e-4	13q12.12	0.3473213436102388
PIGW	2.0962e-4	6.886e-5	17q12	0.3284991890086824
HJV	5.43194e-4	1.739e-4	1q21_TAR	0.32014344782895243
GP1BB	5.7723e-4	1.771e-4	22q11.2_LCRA-D	0.3068101103546247
MERTK	5.49799e-4	1.2859999999999998e-4	2q13	0.23390366297501447
FAN1	4.21841e-4	9.326000000000001e-5	15q13.3_BP4-BP5	0.22107855803489943
SACS	0.001004097	2.117e-4	13q12.12	0.21083620407191736
LZTR1	9.27977e-4	1.771e-4	22q11.2_LCRA-D	0.19084524724211915
NSMCE3	2.04811e-4	3.5289999999999996e-5	15q11q13_BP3-BP4	0.17230519845125503
ERCC6	8.89642e-4	1.412e-4	10q11.21q11.23	0.15871552826867436
ATP2A1	9.38528e-4	1.361e-4	16p11.2dist	0.14501432029731665
BBS4	2.0561000000000002e-5	2.521e-6	15q24_BPA-BPC	0.12261076795875686
TANGO2	0.0016435100000000002	1.771e-4	22q11.2_LCRA-D	0.10775717823438859
RNF168	2.1525300000000002e-4	2.269e-5	3q29	0.105410842125313
