GeneSymbol	fracNAHR	AFnahr	region	AFsum
NPHP1	0.9557940440523088	0.005873	2q13_NPHP1	0.006978877299999999
IGLL1	0.9424083769633511	1.26e-5	22q11.2_LCRD-H	1.26e-5
CORO1A	0.9424083769633509	2.596e-4	16p11.2prox	2.596e-4
GRAP	0.9424083769633509	5.0410000000000005e-6	SMS	5.0410000000000005e-6
ALDOA	0.9424083769633509	2.596e-4	16p11.2prox	2.596e-4
MIEF2	0.9424083769633509	5.0410000000000005e-6	SMS	5.0410000000000005e-6
ADRA2B	0.9424083769633508	7.309999999999999e-5	2q11.2	7.309999999999999e-5
NRROS	0.9424083769633508	2.269e-5	3q29	2.269e-5
CEP19	0.9424083769633508	2.269e-5	3q29	2.269e-5
HJV	0.9424083769633502	1.739e-4	1q21_TAR	1.739e-4
GP1BB	0.9424083769633502	1.771e-4	22q11.2_LCRA-D	1.771e-4
PRODH	0.9424083769633502	1.771e-4	22q11.2_LCRA-D	1.771e-4
RBM8A	0.9424083769633502	1.739e-4	1q21_TAR	1.739e-4
COX5A	0.9424083769633502	2.521e-6	15q24_BPA-BPC	2.521e-6
EDC3	0.9424083769633502	2.521e-6	15q24_BPA-BPC	2.521e-6
SLC18A3	0.9424083769633501	1.412e-4	10q11.21q11.23	1.412e-4
LAT	0.94240837696335	1.361e-4	16p11.2dist	1.361e-4
PIGW	0.9424083769633499	6.886e-5	17q12	6.886e-5
UQCRC2	0.8768908746205871	5.922999999999999e-4	16p12.1	6.538199999999999e-4
SCARF2	0.8549850932160087	1.771e-4	22q11.2_LCRA-D	2.012231e-4
PEX11B	0.8532923333958048	1.739e-4	1q21_TAR	1.980266e-4
MYH11	0.8514384381981198	3.126e-4	16p13.11	3.646739e-4
NDE1	0.8151832023630278	3.126e-4	16p13.11	3.7426e-4
SLC25A1	0.7973278657462819	1.771e-4	22q11.2_LCRA-D	2.2535439999999998e-4
SNAP29	0.7972193053898288	1.771e-4	22q11.2_LCRA-D	2.253941e-4
COX10	0.7916779407702618	3.148e-4	HNPP	4.007094e-4
TUFM	0.7592855618037597	1.361e-4	16p11.2dist	1.843602e-4
NCAPH	0.737879665990545	7.309999999999999e-5	2q11.2	9.72301e-5
RBP3	0.6898604929294647	1.412e-4	10q11.21q11.23	2.1357049999999998e-4
CNNM4	0.6434420749414392	7.309999999999999e-5	2q11.2	1.2143489999999998e-4
ANAPC1	0.643102241461616	1.2859999999999998e-4	2q13	2.2626249999999998e-4
POLR3GL	0.630892763302809	1.739e-4	1q21_TAR	2.945938e-4
PRRT2	0.5602032580161502	2.596e-4	16p11.2prox	4.9493e-4
CD19	0.5394157129951433	1.361e-4	16p11.2dist	2.6532600000000003e-4
ZNHIT3	0.5114678001023549	6.886e-5	17q12	1.3311e-4
CDC45	0.4962556420960957	1.771e-4	22q11.2_LCRA-D	4.220855e-4
OTOA	0.44056249626670474	5.922999999999999e-4	16p12.1	0.0014049786999999999
CHAT	0.4332335868417402	1.412e-4	10q11.21q11.23	4.066483e-4
SGCG	0.3593928454737667	2.117e-4	13q12.12	7.4796e-4
TANGO2	0.3518629026903186	1.771e-4	22q11.2_LCRA-D	5.857e-4
MIPEP	0.3413049841021984	2.117e-4	13q12.12	8.808091e-4
TXNRD2	0.33933634559897463	1.771e-4	22q11.2_LCRA-D	6.9433e-4
PI4KA	0.325790844589544	1.771e-4	22q11.2_LCRA-D	7.808792e-4
SACS	0.2974410774638104	2.117e-4	13q12.12	0.00102509
FDFT1	0.29211996432862203	1.008e-5	8p23.1	3.42218e-5
TCTEX1D2	0.27731089100980777	2.269e-5	3q29	9.51257e-5
LMAN2L	0.26844495961712633	7.309999999999999e-5	2q11.2	3.871368e-4
ERCC6	0.242008387147547	1.412e-4	10q11.21q11.23	8.285057999999999e-4
TFRC	0.21789816741243034	2.269e-5	3q29	1.191709e-4
PCYT1A	0.21557334123248392	2.269e-5	3q29	1.203466e-4
LZTR1	0.21215667900173094	1.771e-4	22q11.2_LCRA-D	0.0012772114
ATP2A1	0.15568897486084216	1.361e-4	16p11.2dist	0.0010999909
