bin	chrom	chromStart	chromEnd	name	score	strand	otherChrom	otherStart	otherEnd	otherSize	uid	posBasesHit	testResult	verdict	chits	ccov	alignfile	alignL	indelN	indelS	alignB	matchB	mismatchB	transitionsB	transversionsB	fracMatch	fracMatchIndel	jcK	k2K
1	chr17_GL000258v2_alt	508938	527391	chr17_GL000258v2_alt:508938	0	+	chr17_GL000258v2_alt	1201550	1220061	18511	.	1000	N/A	N/A	N/A	N/A	align_both/0014/both0074763	.	.	.	18453	18268	185	.	.	0.99	0.99	.	.
1	chr17_GL000258v2_alt	546791	550120	chr17_GL000258v2_alt:546791	0	+	chr17_GL000258v2_alt	1325352	1328696	3344	.	1000	N/A	N/A	N/A	N/A	align_both/0014/both0074763	.	.	.	3329	3267	62	.	.	0.981375789	0.981375789	.	.
1	chr17_GL000258v2_alt	550143	578853	chr17_GL000258v2_alt:550143	0	+	chr17_GL000258v2_alt	1329165	1357856	28691	.	1000	N/A	N/A	N/A	N/A	align_both/0014/both0074763	.	.	.	28710	28498	212	.	.	0.992615813	0.992615813	.	.
1	chr17_GL000258v2_alt	578883	650504	chr17_GL000258v2_alt:578883	0	+	chr17_GL000258v2_alt	1361335	1432917	71582	.	1000	N/A	N/A	N/A	N/A	align_both/0014/both0074763	.	.	.	71621	71330	291	.	.	0.995936946	0.995936946	.	.
1	chr17_GL000258v2_alt	553590	569535	chr17_GL000258v2_alt:553590	0	+	chr17_GL000258v2_alt	1332586	1348538	15952	.	1000	N/A	N/A	N/A	N/A	align_both/0014/both0074763	.	.	.	15945	15865	80	.	.	0.995	0.995	.	.
1	chr17_GL000258v2_alt	494630	502933	chr17_GL000258v2_alt:494630	0	+	chr17_GL000258v2_alt	1433940	1442258	8318	.	1000	N/A	N/A	N/A	N/A	align_both/0014/both0074763	.	.	.	8303	8203	100	.	.	0.988	0.988	.	.
1	chr17_GL000258v2_alt	1201550	1220061	chr17_GL000258v2_alt:1201550	0	+	chr17_GL000258v2_alt	508938	527391	18511	.	1000	N/A	N/A	N/A	N/A	align_both/0014/both0074763	.	.	.	18453	18268	185	.	.	0.99	0.99	.	.
1	chr17_GL000258v2_alt	1325352	1328696	chr17_GL000258v2_alt:1325352	0	+	chr17_GL000258v2_alt	546791	550120	3344	.	1000	N/A	N/A	N/A	N/A	align_both/0014/both0074763	.	.	.	3329	3267	62	.	.	0.981375789	0.981375789	.	.
1	chr17_GL000258v2_alt	1329165	1357856	chr17_GL000258v2_alt:1329165	0	+	chr17_GL000258v2_alt	550143	578853	28691	.	1000	N/A	N/A	N/A	N/A	align_both/0014/both0074763	.	.	.	28710	28498	212	.	.	0.992615813	0.992615813	.	.
1	chr17_GL000258v2_alt	1361335	1432917	chr17_GL000258v2_alt:1361335	0	+	chr17_GL000258v2_alt	578883	650504	71582	.	1000	N/A	N/A	N/A	N/A	align_both/0014/both0074763	.	.	.	71621	71330	291	.	.	0.995936946	0.995936946	.	.
1	chr17_GL000258v2_alt	1332586	1348538	chr17_GL000258v2_alt:1332586	0	+	chr17_GL000258v2_alt	553590	569535	15952	.	1000	N/A	N/A	N/A	N/A	align_both/0014/both0074763	.	.	.	15945	15865	80	.	.	0.995	0.995	.	.
1	chr17_GL000258v2_alt	1433940	1442258	chr17_GL000258v2_alt:1433940	0	+	chr17_GL000258v2_alt	494630	502933	8318	.	1000	N/A	N/A	N/A	N/A	align_both/0014/both0074763	.	.	.	8303	8203	100	.	.	0.988	0.988	.	.
