GeneSymbol	fracNAHR	AFnahr	region	AFsum
NPHP1	0.9882853468560463	0.005873	2q13_NPHP1	0.006120495
CDHR1	0.9424083769633511	7.562000000000001e-6	10q23	7.562000000000001e-6
ANAPC1	0.9424083769633511	1.2859999999999998e-4	2q13	1.2859999999999998e-4
B9D1	0.9424083769633509	5.0410000000000005e-6	SMS	5.0410000000000005e-6
CORO1A	0.9424083769633509	2.596e-4	16p11.2prox	2.596e-4
ATPAF2	0.9424083769633509	5.0410000000000005e-6	SMS	5.0410000000000005e-6
TOP3A	0.9424083769633509	5.0410000000000005e-6	SMS	5.0410000000000005e-6
GRAP	0.9424083769633509	5.0410000000000005e-6	SMS	5.0410000000000005e-6
ALDOA	0.9424083769633509	2.596e-4	16p11.2prox	2.596e-4
MIEF2	0.9424083769633509	5.0410000000000005e-6	SMS	5.0410000000000005e-6
PCYT1A	0.9424083769633508	2.269e-5	3q29	2.269e-5
RNF168	0.9424083769633508	2.269e-5	3q29	2.269e-5
CNNM4	0.9424083769633508	7.309999999999999e-5	2q11.2	7.309999999999999e-5
TFRC	0.9424083769633508	2.269e-5	3q29	2.269e-5
ADRA2B	0.9424083769633508	7.309999999999999e-5	2q11.2	7.309999999999999e-5
NRROS	0.9424083769633508	2.269e-5	3q29	2.269e-5
CEP19	0.9424083769633508	2.269e-5	3q29	2.269e-5
MYH11	0.9424083769633507	3.126e-4	16p13.11	3.126e-4
NDE1	0.9424083769633507	3.126e-4	16p13.11	3.126e-4
UQCRC2	0.9424083769633507	5.922999999999999e-4	16p12.1	5.922999999999999e-4
FDFT1	0.9424083769633503	1.008e-5	8p23.1	1.008e-5
GP1BB	0.9424083769633502	1.771e-4	22q11.2_LCRA-D	1.771e-4
SCARF2	0.9424083769633502	1.771e-4	22q11.2_LCRA-D	1.771e-4
SLC25A1	0.9424083769633502	1.771e-4	22q11.2_LCRA-D	1.771e-4
MDH2	0.9424083769633502	2.521e-6	7q11.23_dist	2.521e-6
PRODH	0.9424083769633502	1.771e-4	22q11.2_LCRA-D	1.771e-4
RBM8A	0.9424083769633502	1.739e-4	1q21_TAR	1.739e-4
POLR3GL	0.9424083769633502	1.739e-4	1q21_TAR	1.739e-4
TXNRD2	0.9424083769633502	1.771e-4	22q11.2_LCRA-D	1.771e-4
COX5A	0.9424083769633502	2.521e-6	15q24_BPA-BPC	2.521e-6
EDC3	0.9424083769633502	2.521e-6	15q24_BPA-BPC	2.521e-6
SLC18A3	0.9424083769633501	1.412e-4	10q11.21q11.23	1.412e-4
TUFM	0.94240837696335	1.361e-4	16p11.2dist	1.361e-4
CD19	0.94240837696335	1.361e-4	16p11.2dist	1.361e-4
LAT	0.94240837696335	1.361e-4	16p11.2dist	1.361e-4
ZNHIT3	0.9424083769633499	6.886e-5	17q12	6.886e-5
PIGW	0.9424083769633499	6.886e-5	17q12	6.886e-5
SGCG	0.7788898314470385	2.117e-4	13q12.12	2.6607e-4
TANGO2	0.750228824058163	1.771e-4	22q11.2_LCRA-D	2.3151999999999998e-4
HJV	0.7472901493781161	1.739e-4	1q21_TAR	2.2827e-4
PEX11B	0.7471019385583088	1.739e-4	1q21_TAR	2.2833e-4
ATP2A1	0.702054727055627	1.361e-4	16p11.2dist	1.906e-4
COX10	0.555163094251197	3.148e-4	HNPP	6.17004e-4
OTOA	0.5184158675483758	5.922999999999999e-4	16p12.1	0.0013876869999999999
SACS	0.4894634065618436	2.117e-4	13q12.12	5.448499999999999e-4
RBP3	0.4182205563668054	1.412e-4	10q11.21q11.23	3.34325e-4
NCF1	0.4149471623178776	3.935e-5	7q11.23	9.391e-5
PRRT2	0.3523774867529115	2.596e-4	16p11.2prox	8.394e-4
CHAT	0.28548851712133516	1.412e-4	10q11.21q11.23	6.34818e-4
NCAPH	0.27335718502466	7.309999999999999e-5	2q11.2	2.6526e-4
PI4KA	0.25213587864744613	1.771e-4	22q11.2_LCRA-D	9.50648e-4
CDC45	0.23347064610404056	1.771e-4	22q11.2_LCRA-D	8.349000000000001e-4
MERTK	0.22151001447997903	1.2859999999999998e-4	2q13	6.514e-4
LMAN2L	0.19432509252484187	7.309999999999999e-5	2q11.2	4.57864e-4
MIPEP	0.19014891754713686	2.117e-4	13q12.12	0.0014608499999999999
ERCC6	0.18228907282884216	1.412e-4	10q11.21q11.23	9.5709e-4
SNAP29	0.15145494453885538	1.771e-4	22q11.2_LCRA-D	0.0011611
ABCC6	0.12190552178181438	3.126e-4	16p13.11	0.0037900300000000002
